"Provincia","Modalidad","Tipo recurso","Categoría","exp_fecapertura","Nombre establecimiento","Municipio","Dirección","C. Postal","Web","Nº Plazas"
"Badajoz","Restaurante","II","1 Tenedor","1996-03-26","LOS JAMONES","ACEDERA","PLAZA DE LA IGLESIA, 11",,"SÍ",80
"Badajoz","Café - Bar","I","--","2008-04-04","HOGAR PENSIONISTA","ACEDERA","LOS EMIGRANTES, 11",6730,"NO",0
"Badajoz","Café - Bar","I","--","2000-06-14","LA KANANA","ACEDERA","CALLE SAN SALVADOR, 5",6730,"NO",0
"Badajoz","Café - Bar","I","--","1995-06-27","LOS JAMONES","ACEDERA","PLAZA DE LA IGLESIA, 11",,"NO",0
"Badajoz","Café - Bar","I","--","1985-07-03","NAVARRO","ACEDERA","PLAZA LA IGLESIA, 2",6713,"NO",0
"Badajoz","Café - Bar","I","--","2023-01-09","NICO","ACEDERA","PLAZA DE LA IGLESIA, 5",,"NO",0
"Badajoz","Café - Bar","I","--","1998-05-04","RESTAURANTE GRAN RUTA","ACEDERA","CARRETERA N-430 K. 135",6730,"NO",0
"Badajoz","Pub","III","--","2000-06-14","KIOSCO LA CAÑA","ACEDERA","PLAZA DE LA IGLESIA",6713,"NO",0
"Badajoz","Restaurante","II","1 Tenedor","1990-06-24","HOTEL-HOSTAL ACUEDUCTO","ACEDERA","CARRETERA N-430 K. 135",6730,"NO",650
"Badajoz","Restaurante","II","1 Tenedor","1994-03-18","FRIJON","ACEUCHAL","CARRETERA VILLALBA,, 1",6207,"SÍ",650
"Badajoz","Restaurante","II","1 Tenedor","1992-06-28","ROMERO","ACEUCHAL","CARRETERA VILLALBA, 12",6207,"SÍ",16
"Badajoz","Café - Bar","I","--","2006-10-04","AVENIDA","ACEUCHAL","CTRA. VILLALBA, 8",6207,"NO",0
"Badajoz","Café - Bar","I","--","1994-07-20","BAR MONTECASINO","ACEUCHAL","PLAZA ESPAÑA, 16",6207,"NO",0
"Badajoz","Café - Bar","I","--","2015-01-22","CAFE BAR EL ZAGUÁN","ACEUCHAL","PILAR, 5",6207,"NO",0
"Badajoz","Café - Bar","I","--","1981-07-21","FRIJON","ACEUCHAL","CARRETERA VILLALBA, 3",6207,"NO",0
"Badajoz","Café - Bar","I","--","1996-04-14","HORNO ACEUCHAL","ACEUCHAL","CALLE LA CERCA, 5",6207,"NO",0
"Badajoz","Café - Bar","I","--","1990-06-20","THE FOOD WAY","ACEUCHAL","PLAZA CONSTITUCION, 17",6207,"NO",0
"Badajoz","Cafetería","II","1 Taza","2013-07-15","CENTRO DE OCIO DE MAYORES","ACEUCHAL","PLAZA ESPAÑA S/N",6207,"NO",75
"Badajoz","Cafetería","II","1 Taza","2001-01-17","FRIJÓN","ACEUCHAL","CARRETERA CTRA. VILLALBA,1",6207,"NO",51
"Badajoz","Cafetería","II","1 Taza","2014-02-25","MELENDEZ","ACEUCHAL","AVDA. DE LA CERCA, 10",6207,"NO",40
"Badajoz","Cafetería","II","1 Taza","1992-06-28","ROMERO","ACEUCHAL","CARRETERA VILLALBA, 12",6207,"NO",52
"Badajoz","Pub","III","--","2000-01-08","JAMAICA","ACEUCHAL","AVDA. JUAN CARLOS I, 24 (ANTES AVENIDA DE LA CERCA)",6207,"NO",0
"Badajoz","Pub","III","--","2009-09-04","VONIA´S","ACEUCHAL","AVDA. JUAN CARLOS I, 24",6207,"NO",0
"Badajoz","Restaurante","II","1 Tenedor","2006-11-24","LOS CABEZONES","ACEUCHAL","CTRA. VILLALBA, 10",6207,"NO",72
"Badajoz","Salón de banquetes y convenciones","II","Básico","2022-05-27","SALONES MARTÍNEZ FERNÁNDEZ","ACEUCHAL","C/ CAMINO DE SAN ISIDRO, S/N",6207,"NO",225
"Badajoz","Café - Bar","I","--","2016-10-20","LA CASTELLANA","AHILLONES","TRAVESÍA CRISTO, 1",6940,"SÍ",0
"Badajoz","Restaurante","II","1 Tenedor","2007-09-06","LOS OLIVOS","AHILLONES","CTRA. 432 KM. 127",6940,"SÍ",60
"Badajoz","Café - Bar","I","--","1999-04-17","EL PATIO","AHILLONES","CALLE REAL, 2",6940,"NO",0
"Badajoz","Café - Bar","I","--","2008-02-27","HOGAR DEL PENSIONISTA","AHILLONES","PLAZA DE ESPAÑA, S/Nº",6940,"NO",0
"Badajoz","Café - Bar","I","--","2007-09-06","LOS OLIVOS","AHILLONES","CTRA. 432 KM. 127",6940,"NO",0
"Badajoz","Café - Bar","I","--","2006-03-14","MES0N LA ENCINA","AHILLONES","CRISTO, 3",6940,"NO",0
"Badajoz","Café - Bar","I","--","2022-09-16","PEPI CURRO","AHILLONES","PLAZA ESPAÑA, 10",6940,"NO",0
"Badajoz","Pub","III","--","2010-08-16","DISCO PUB AL-PA","AHILLONES","TOLEDILLO, 4 A",6940,"NO",0
"Badajoz","Pub","III","--","1997-11-26","PUB ZULU","AHILLONES","CALLE CRISTO, 5",6940,"NO",0
"Badajoz","Restaurante","II","1 Tenedor","2009-07-10","GRAN HOTEL AQUALANGE","ALANGE","PASEO DE HUERTAS, 3",6840,"SÍ",100
"Badajoz","Restaurante","II","1 Tenedor","2010-06-09","MESON TRINIDAD","ALANGE","CALLE ENCOMIENDA, 51",6840,"SÍ",350
"Badajoz","Salón de banquetes y convenciones","II","Básico","2009-07-10","GRAN HOTEL AQUALANGE","ALANGE","PASEO DE HUERTAS, 3",6840,"SÍ",55
"Badajoz","Salón de banquetes y convenciones","II","Básico","2009-05-22","MESON TRINIDAD","ALANGE","ENCOMIENDA, 51",6840,"SÍ",290
"Badajoz","Café - Bar","I","--","2004-07-13","BAR PARADOR DE ALANGE","ALANGE","AVDA. JUAN CARLOS I, Nº 11",6840,"NO",0
"Badajoz","Café - Bar","I","--","2010-06-09","BAR PLAZA","ALANGE","PLAZA DE ESPAÑA, 8",6840,"NO",0
"Badajoz","Café - Bar","I","--","1994-03-11","BRASERIA VENTA EL CUERNO","ALANGE","CARRETERA MERIDA-ALANGE, POLIGONO 1, PARCELA 19 Y 20",6840,"NO",0
"Badajoz","Café - Bar","I","--","1971-09-09","CAFE-BAR  HOTEL VARINIA SERENA","ALANGE","CALLE BAÑOS, 63",,"NO",0
"Badajoz","Café - Bar","I","--","1999-01-10","EL BODEGÓN","ALANGE","AVENIDA JUAN CARLOS I, 5",6840,"NO",0
"Badajoz","Café - Bar","I","--","2021-10-06","EL MANANTIAL","ALANGE","PASEO DE LAS HUERTAS, 46",,"NO",0
"Badajoz","Café - Bar","I","--","2006-05-17","GRAN HOTEL AQUALANGE","ALANGE","PASEO DE LAS HUERTAS, 2",6840,"NO",0
"Badajoz","Café - Bar","I","--","2010-06-09","MESON TRINIDAD","ALANGE","CALLE ENCOMIENDA, 51",6840,"NO",0
"Badajoz","Café - Bar","I","--","2020-09-18","PISCINA MUNICIPAL","ALANGE","PASEO HUERTA, 1",6840,"NO",0
"Badajoz","Café - Bar","I","--","1999-08-14","RETIRO HOGAR PENSIONISTA","ALANGE","CALLE DESCUBRIDORES, 8",6840,"NO",0
"Badajoz","Cafetería","II","1 Taza","2001-12-02","CAFETERIA DEL PARQUE","ALANGE","CALLE BAÑOS, 56",6840,"NO",54
"Badajoz","Pub","III","--","1990-09-27","DISCO BAR GUILLE","ALANGE","AVENIDA EXTREMADURA, 3",6840,"NO",0
"Badajoz","Restaurante","II","1 Tenedor","2018-05-30","BRASERIA VENTA EL CUERNO","ALANGE","CARRETERA MERIDA-ALANGE, POLIGONO 1, PARCELA 19 Y 20",6840,"NO",175
"Badajoz","Restaurante","II","1 Tenedor","2021-10-28","EL MANANTIAL","ALANGE","PASEO DE LAS HUERTAS, 46",6840,"NO",58
"Badajoz","Restaurante","II","1 Tenedor","2023-02-28","LA SINFOROSA","ALANGE","C/ NUEVA, 10",6840,"NO",25
"Badajoz","Restaurante","II","1 Tenedor","2004-06-16","PARADOR DE ALANGE","ALANGE","AVDA. JUAN CARLOS I, Nº 11",6840,"NO",40
"Badajoz","Salón de banquetes y convenciones","II","Básico","2009-01-12","GUILLE","ALANGE","AV. EXTREMADURA, 3",6840,"NO",455
"Badajoz","Café - Bar","I","--","1985-07-08","BAR NUEVO","ALBUERA (LA)","AVENIDA GRAL CASTAÑO, 13",6170,"NO",0
"Badajoz","Café - Bar","I","--","1997-12-09","BEER OIR & CATAR","ALBUERA (LA)","PLAZA ESPAÑA, 5",6170,"NO",0
"Badajoz","Café - Bar","I","--","1986-04-21","CECILIO","ALBUERA (LA)","AVENIDA GRAL. CASTAÑO",6170,"NO",0
"Badajoz","Café - Bar","I","--","1988-08-16","DON PEPE","ALBUERA (LA)","AVENIDA EXTREMADURA, 125",6170,"NO",0
"Badajoz","Café - Bar","I","--","1996-10-09","DON QUIJOTE","ALBUERA (LA)","CALLE REAL, 59",6170,"NO",0
"Badajoz","Café - Bar","I","--","2021-12-07","EL BADULAKE DE GUILLE","ALBUERA (LA)","C/ SAN JOSE, 18",6170,"NO",0
"Badajoz","Café - Bar","I","--","2022-10-07","EL MANITO","ALBUERA (LA)","C/ IGLESIA, 18",6170,"NO",0
"Badajoz","Café - Bar","I","--","2021-11-18","JUBILADOS BEACH CLUB","ALBUERA (LA)","IGLESIA, 5",6170,"NO",0
"Badajoz","Café - Bar","I","--","2019-10-16","LAS MIGAS DEL BARRI","ALBUERA (LA)","CTRA. VALVERDE S/N",6170,"NO",0
"Badajoz","Café - Bar","I","--","1996-04-21","LOS PEDROS","ALBUERA (LA)","AVENIDA EXTREMADURA, 54 (ANTES 82)",6170,"NO",0
"Badajoz","Café - Bar","I","--","1984-08-13","ROMERO","ALBUERA (LA)","AVENIDA GRAL CASTAÑO, 9",6170,"NO",0
"Badajoz","Pub","III","--","1994-06-19","CICLON","ALBUERA (LA)","CALLE REAL, 27",6170,"NO",0
"Badajoz","Restaurante","II","1 Tenedor","1989-01-24","DON PEPE","ALBUERA (LA)","AVENIDA EXTREMADURA, 125",6170,"NO",77
"Badajoz","Restaurante","II","1 Tenedor","2019-01-11","PALACIO DE LINCE","ALBUERA (LA)","CTRA. BADAJOZ-GRANADA, KM. 23,300",6170,"NO",47
"Badajoz","Salón de banquetes y convenciones","II","Básico","2019-01-11","PALACIO DE LINCE","ALBUERA (LA)","CTRA. BADAJOZ-GRANADA, KM. 23,300",,"NO",375
"Badajoz","Catering","II","--","2005-09-28","MACHACO CATERING","ALBURQUERQUE","C/POZO DEL CONCEJO, 29",6510,"SÍ",0
"Badajoz","Restaurante","II","1 Tenedor","2005-04-13","ASADOR SAN BLAS","ALBURQUERQUE","C/ MAYORGA S/N POLIG. INDU. SAN BLAS",6510,"SÍ",50
"Badajoz","Restaurante","II","1 Tenedor","2006-07-17","EL FOGON DE SANTA MARIA","ALBURQUERQUE","C/SANTA MARIA, 1",6510,"SÍ",36
"Badajoz","Restaurante","II","1 Tenedor","2010-06-09","EL JUEGO DE LA BOLA","ALBURQUERQUE","Moreno Nieto, 18",6510,"SÍ",75
"Badajoz","Restaurante","II","2 Tenedores","2000-05-25","LOS CANTOS","ALBURQUERQUE","FINCA FINCA LOS CANTOS",6510,"SÍ",45
"Badajoz","Restaurante","II","2 Tenedores","1978-07-07","MACHACO","ALBURQUERQUE","CALLE POZO CONCEJO, 29",6510,"SÍ",40
"Badajoz","Salón de banquetes y convenciones","II","Básico","2007-12-21","SALON DE CELEBRACIONES ROLAN","ALBURQUERQUE","C/ MORENO NIETO, 18",6510,"SÍ",225
"Badajoz","Café - Bar","I","--","2004-05-24","ASADOR SAN BLAS","ALBURQUERQUE","MAYORGA S/N, POLIGONO IND. SAN BALS",6510,"NO",0
"Badajoz","Café - Bar","I","--","1997-05-26","BALANUS","ALBURQUERQUE","PLAZA ESPAÑA, 11",6510,"NO",0
"Badajoz","Café - Bar","I","--","2000-04-11","BOZAS FLORES","ALBURQUERQUE","CALLE POZO_CONCEJO, 29",6510,"NO",0
"Badajoz","Café - Bar","I","--","2010-06-09","CASTILLO DE LUNA","ALBURQUERQUE","CARRETERA EX 110  PK. 34.500, 34",6510,"NO",0
